0,153,150,75,107,136,118,97,145,13,80,93
153,0,99,176,102,104,133,42,57,52,76,147
150,99,0,33,142,164,128,123,159,170,85,113
75,176,33,0,103,117,151,116,70,94,118,123
107,102,142,103,0,144,66,72,46,118,58,117
136,104,164,117,144,0,86,72,134,137,112,160
118,133,128,151,66,86,0,176,138,108,102,113
97,42,123,116,72,72,176,0,179,134,86,94
145,57,159,70,46,134,138,179,0,113,43,102
13,52,170,94,118,137,108,134,113,0,121,102
80,76,85,118,58,112,102,86,43,121,0,104
93,147,113,123,117,160,113,94,102,102,104,0
