0,100,83,99,81,172,107,109,46,121,53,96,117
100,0,91,125,79,161,140,48,119,110,59,39,66
83,91,0,82,173,101,141,96,101,161,122,82,70
99,125,82,0,171,100,70,105,9,72,137,113,77
81,79,173,171,0,68,163,95,82,111,53,164,132
172,161,101,100,68,0,131,51,144,29,151,150,108
107,140,141,70,163,131,0,104,107,85,140,121,100
109,48,96,105,95,51,104,0,175,35,84,108,117
46,119,101,9,82,144,107,175,0,51,77,106,103
121,110,161,72,111,29,85,35,51,0,45,68,106
53,59,122,137,53,151,140,84,77,45,0,120,60
96,39,82,113,164,150,121,108,106,68,120,0,74
117,66,70,77,132,108,100,117,103,106,60,74,0
