0,103,47,104,160,112,48,81,62,106,90,150,77
103,0,187,87,130,41,120,80,129,105,105,135,172
47,187,0,88,34,100,97,81,33,94,143,159,137
104,87,88,0,139,86,146,132,33,53,101,74,50
160,130,34,139,0,78,104,128,48,128,71,115,95
112,41,100,86,78,0,72,54,100,123,102,179,67
48,120,97,146,104,72,0,109,66,75,93,59,142
81,80,81,132,128,54,109,0,82,156,118,64,89
62,129,33,33,48,100,66,82,0,53,85,61,98
106,105,94,53,128,123,75,156,53,0,104,29,82
90,105,143,101,71,102,93,118,85,104,0,146,69
150,135,159,74,115,179,59,64,61,29,146,0,109
77,172,137,50,95,67,142,89,98,82,69,109,0
