0,84,186,56,66,100,73,120,170,160,184,55,109
84,0,60,103,115,84,104,106,131,59,108,79,174
186,60,0,39,141,106,65,116,53,152,63,162,162
56,103,39,0,114,108,110,143,92,96,126,124,61
66,115,141,114,0,32,80,24,48,154,96,105,99
100,84,106,108,32,0,121,90,55,107,29,95,171
73,104,65,110,80,121,0,178,116,91,119,86,126
120,106,116,143,24,90,178,0,93,143,110,165,123
170,131,53,92,48,55,116,93,0,87,168,128,123
160,59,152,96,154,107,91,143,87,0,53,176,82
184,108,63,126,96,29,119,110,168,53,0,140,93
55,79,162,124,105,95,86,165,128,176,140,0,109
109,174,162,61,99,171,126,123,123,82,93,109,0
