0.0,25.0,127.0,155.0,114.0,95.0,98.0,59.0,91.0
25.0,0.0,68.0,47.0,69.0,90.0,41.0,11.0,119.0
127.0,68.0,0.0,119.0,120.0,78.0,181.0,90.0,116.0
155.0,47.0,119.0,0.0,21.0,100.0,60.0,135.0,154.0
114.0,69.0,120.0,21.0,0.0,92.0,60.0,75.0,145.0
95.0,90.0,78.0,100.0,92.0,0.0,142.0,174.0,129.0
98.0,41.0,181.0,60.0,60.0,142.0,0.0,78.0,108.0
59.0,11.0,90.0,135.0,75.0,174.0,78.0,0.0,143.0
91.0,119.0,116.0,154.0,145.0,129.0,108.0,143.0,0.0
2646.75,2646.75,2646.75,2646.75,2646.75,2646.75,2646.75,2646.75,2646.75
