0.0,122.0,76.0,15.0,67.0,173.0,178.0,98.0,108.0,93.0
122.0,0.0,143.0,104.0,56.0,63.0,161.0,108.0,101.0,184.0
76.0,143.0,0.0,49.0,81.0,188.0,144.0,41.0,71.0,31.0
15.0,104.0,49.0,0.0,64.0,90.0,39.0,105.0,123.0,93.0
67.0,56.0,81.0,64.0,0.0,171.0,184.0,129.0,93.0,138.0
173.0,63.0,188.0,90.0,171.0,0.0,41.0,123.0,141.0,33.0
178.0,161.0,144.0,39.0,184.0,41.0,0.0,84.0,94.0,142.0
98.0,108.0,41.0,105.0,129.0,123.0,84.0,0.0,72.0,127.0
108.0,101.0,71.0,123.0,93.0,141.0,94.0,72.0,0.0,182.0
93.0,184.0,31.0,93.0,138.0,33.0,142.0,127.0,182.0,0.0
3542.25,3542.25,3542.25,3542.25,3542.25,3542.25,3542.25,3542.25,3542.25,3542.25
