0.0,54.0,89.0,139.0,137.0,46.0,107.0,65.0,151.0,41.0,124.0
54.0,0.0,112.0,150.0,50.0,74.0,99.0,140.0,141.0,94.0,123.0
89.0,112.0,0.0,146.0,150.0,101.0,97.0,66.0,59.0,19.0,33.0
139.0,150.0,146.0,0.0,113.0,61.0,147.0,95.0,76.0,106.0,132.0
137.0,50.0,150.0,113.0,0.0,72.0,167.0,96.0,138.0,71.0,84.0
46.0,74.0,101.0,61.0,72.0,0.0,114.0,172.0,59.0,172.0,113.0
107.0,99.0,97.0,147.0,167.0,114.0,0.0,81.0,95.0,175.0,125.0
65.0,140.0,66.0,95.0,96.0,172.0,81.0,0.0,49.0,183.0,118.0
151.0,141.0,59.0,76.0,138.0,59.0,95.0,49.0,0.0,173.0,110.0
41.0,94.0,19.0,106.0,71.0,172.0,175.0,183.0,173.0,0.0,78.0
124.0,123.0,33.0,132.0,84.0,113.0,125.0,118.0,110.0,78.0,0.0
4336.5,4336.5,4336.5,4336.5,4336.5,4336.5,4336.5,4336.5,4336.5,4336.5,4336.5
