0.0,109.0,145.0,126.0,61.0,59.0,41.0,100.0,135.0
109.0,0.0,48.0,66.0,130.0,111.0,53.0,52.0,128.0
145.0,48.0,0.0,124.0,67.0,138.0,50.0,86.0,39.0
126.0,66.0,124.0,0.0,98.0,107.0,44.0,167.0,116.0
61.0,130.0,67.0,98.0,0.0,36.0,62.0,136.0,17.0
59.0,111.0,138.0,107.0,36.0,0.0,120.0,107.0,101.0
41.0,53.0,50.0,44.0,62.0,120.0,0.0,55.0,89.0
100.0,52.0,86.0,167.0,136.0,107.0,55.0,0.0,104.0
135.0,128.0,39.0,116.0,17.0,101.0,89.0,104.0,0.0
2420.25,2420.25,2420.25,2420.25,2420.25,2420.25,2420.25,2420.25,2420.25
