0.0,133.0,46.0,26.0,99.0,97.0,135.0,130.0,133.0
133.0,0.0,111.0,159.0,122.0,147.0,65.0,19.0,95.0
46.0,111.0,0.0,143.0,103.0,96.0,86.0,103.0,57.0
26.0,159.0,143.0,0.0,144.0,22.0,82.0,165.0,82.0
99.0,122.0,103.0,144.0,0.0,36.0,148.0,93.0,55.0
97.0,147.0,96.0,22.0,36.0,0.0,50.0,61.0,114.0
135.0,65.0,86.0,82.0,148.0,50.0,0.0,96.0,110.0
130.0,19.0,103.0,165.0,93.0,61.0,96.0,0.0,70.0
133.0,95.0,57.0,82.0,55.0,114.0,110.0,70.0,0.0
2574.75,2574.75,2574.75,2574.75,2574.75,2574.75,2574.75,2574.75,2574.75
