0.0,105.0,125.0,76.0,130.0,48.0,128.0,68.0,98.0,147.0,91.0,83.0
105.0,0.0,26.0,139.0,79.0,133.0,89.0,89.0,137.0,137.0,166.0,41.0
125.0,26.0,0.0,135.0,114.0,158.0,117.0,92.0,145.0,140.0,80.0,69.0
76.0,139.0,135.0,0.0,165.0,71.0,11.0,99.0,94.0,113.0,139.0,95.0
130.0,79.0,114.0,165.0,0.0,127.0,91.0,150.0,33.0,110.0,37.0,62.0
48.0,133.0,158.0,71.0,127.0,0.0,117.0,95.0,93.0,95.0,124.0,95.0
128.0,89.0,117.0,11.0,91.0,117.0,0.0,42.0,40.0,91.0,41.0,75.0
68.0,89.0,92.0,99.0,150.0,95.0,42.0,0.0,171.0,176.0,128.0,130.0
98.0,137.0,145.0,94.0,33.0,93.0,40.0,171.0,0.0,74.0,95.0,41.0
147.0,137.0,140.0,113.0,110.0,95.0,91.0,176.0,74.0,0.0,69.0,99.0
91.0,166.0,80.0,139.0,37.0,124.0,41.0,128.0,95.0,69.0,0.0,135.0
83.0,41.0,69.0,95.0,62.0,95.0,75.0,130.0,41.0,99.0,135.0,0.0
4956.0,4956.0,4956.0,4956.0,4956.0,4956.0,4956.0,4956.0,4956.0,4956.0,4956.0,4956.0
