0.0,91.0,152.0,124.0,126.0,84.0,31.0,114.0,111.0,78.0,159.0,125.0,152.0
91.0,0.0,98.0,77.0,87.0,169.0,18.0,84.0,81.0,74.0,92.0,90.0,190.0
152.0,98.0,0.0,54.0,169.0,83.0,83.0,81.0,66.0,107.0,58.0,52.0,94.0
124.0,77.0,54.0,0.0,136.0,122.0,168.0,86.0,172.0,133.0,92.0,97.0,86.0
126.0,87.0,169.0,136.0,0.0,83.0,88.0,64.0,63.0,76.0,126.0,17.0,98.0
84.0,169.0,83.0,122.0,83.0,0.0,11.0,129.0,169.0,157.0,185.0,71.0,90.0
31.0,18.0,83.0,168.0,88.0,11.0,0.0,51.0,145.0,83.0,135.0,174.0,75.0
114.0,84.0,81.0,86.0,64.0,129.0,51.0,0.0,128.0,118.0,104.0,180.0,156.0
111.0,81.0,66.0,172.0,63.0,169.0,145.0,128.0,0.0,107.0,144.0,69.0,98.0
78.0,74.0,107.0,133.0,76.0,157.0,83.0,118.0,107.0,0.0,81.0,115.0,49.0
159.0,92.0,58.0,92.0,126.0,185.0,135.0,104.0,144.0,81.0,0.0,108.0,153.0
125.0,90.0,52.0,97.0,17.0,71.0,174.0,180.0,69.0,115.0,108.0,0.0,108.0
152.0,190.0,94.0,86.0,98.0,90.0,75.0,156.0,98.0,49.0,153.0,108.0,0.0
6115.5,6115.5,6115.5,6115.5,6115.5,6115.5,6115.5,6115.5,6115.5,6115.5,6115.5,6115.5,6115.5
