0.0,104.0,73.0,77.0,14.0,100.0,144.0,104.0,120.0
104.0,0.0,65.0,153.0,125.0,157.0,66.0,112.0,60.0
73.0,65.0,0.0,91.0,94.0,24.0,158.0,59.0,111.0
77.0,153.0,91.0,0.0,53.0,116.0,38.0,58.0,97.0
14.0,125.0,94.0,53.0,0.0,127.0,103.0,111.0,134.0
100.0,157.0,24.0,116.0,127.0,0.0,78.0,65.0,89.0
144.0,66.0,158.0,38.0,103.0,78.0,0.0,70.0,69.0
104.0,112.0,59.0,58.0,111.0,65.0,70.0,0.0,134.0
120.0,60.0,111.0,97.0,134.0,89.0,69.0,134.0,0.0
2514.75,2514.75,2514.75,2514.75,2514.75,2514.75,2514.75,2514.75,2514.75
