0.0,45.0,35.0,120.0,94.0,38.0,193.0,89.0,104.0,141.0,32.0,82.0,52.0
45.0,0.0,46.0,83.0,63.0,75.0,140.0,143.0,37.0,62.0,94.0,174.0,88.0
35.0,46.0,0.0,150.0,44.0,49.0,73.0,32.0,104.0,105.0,51.0,132.0,36.0
120.0,83.0,150.0,0.0,72.0,61.0,87.0,101.0,5.0,70.0,52.0,174.0,58.0
94.0,63.0,44.0,72.0,0.0,95.0,53.0,102.0,37.0,64.0,169.0,179.0,60.0
38.0,75.0,49.0,61.0,95.0,0.0,100.0,161.0,99.0,67.0,145.0,141.0,64.0
193.0,140.0,73.0,87.0,53.0,100.0,0.0,58.0,102.0,98.0,99.0,67.0,81.0
89.0,143.0,32.0,101.0,102.0,161.0,58.0,0.0,122.0,72.0,29.0,78.0,63.0
104.0,37.0,104.0,5.0,37.0,99.0,102.0,122.0,0.0,83.0,154.0,137.0,132.0
141.0,62.0,105.0,70.0,64.0,67.0,98.0,72.0,83.0,0.0,99.0,47.0,40.0
32.0,94.0,51.0,52.0,169.0,145.0,99.0,29.0,154.0,99.0,0.0,175.0,91.0
82.0,174.0,132.0,174.0,179.0,141.0,67.0,78.0,137.0,47.0,175.0,0.0,102.0
52.0,88.0,36.0,58.0,60.0,64.0,81.0,63.0,132.0,40.0,91.0,102.0,0.0
5213.25,5213.25,5213.25,5213.25,5213.25,5213.25,5213.25,5213.25,5213.25,5213.25,5213.25,5213.25,5213.25
