0.0,81.0,98.0,89.0,110.0,111.0,112.0,78.0,43.0,52.0
81.0,0.0,90.0,63.0,60.0,48.0,73.0,44.0,175.0,162.0
98.0,90.0,0.0,123.0,145.0,115.0,115.0,115.0,52.0,64.0
89.0,63.0,123.0,0.0,121.0,35.0,144.0,141.0,74.0,30.0
110.0,60.0,145.0,121.0,0.0,97.0,114.0,77.0,72.0,125.0
111.0,48.0,115.0,35.0,97.0,0.0,90.0,73.0,107.0,107.0
112.0,73.0,115.0,144.0,114.0,90.0,0.0,82.0,185.0,157.0
78.0,44.0,115.0,141.0,77.0,73.0,82.0,0.0,29.0,110.0
43.0,175.0,52.0,74.0,72.0,107.0,185.0,29.0,0.0,121.0
52.0,162.0,64.0,30.0,125.0,107.0,157.0,110.0,121.0,0.0
3231.75,3231.75,3231.75,3231.75,3231.75,3231.75,3231.75,3231.75,3231.75,3231.75
