0.0,4.0,18.0,70.0,110.0,113.0,86.0,108.0,64.0,161.0,116.0
4.0,0.0,97.0,157.0,27.0,89.0,74.0,167.0,53.0,61.0,50.0
18.0,97.0,0.0,31.0,55.0,61.0,71.0,34.0,93.0,53.0,95.0
70.0,157.0,31.0,0.0,165.0,115.0,136.0,171.0,180.0,27.0,120.0
110.0,27.0,55.0,165.0,0.0,121.0,114.0,71.0,43.0,94.0,112.0
113.0,89.0,61.0,115.0,121.0,0.0,74.0,68.0,130.0,75.0,149.0
86.0,74.0,71.0,136.0,114.0,74.0,0.0,70.0,29.0,117.0,166.0
108.0,167.0,34.0,171.0,71.0,68.0,70.0,0.0,86.0,137.0,127.0
64.0,53.0,93.0,180.0,43.0,130.0,29.0,86.0,0.0,105.0,135.0
161.0,61.0,53.0,27.0,94.0,75.0,117.0,137.0,105.0,0.0,49.0
116.0,50.0,95.0,120.0,112.0,149.0,166.0,127.0,135.0,49.0,0.0
3828.0,3828.0,3828.0,3828.0,3828.0,3828.0,3828.0,3828.0,3828.0,3828.0,3828.0
